asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B074WMWL1R,"Luggage Aluminium Frame Suitcase TSA Lock 100% PC 20in 24in 28in (Sliver, L(28in))",https://m.media-amazon.com/images/I/61Zv2kuCyfL._AC_UL320_.jpg,https://www.amazon.com/dp/B074WMWL1R,4.3,0,159.99,0.0,104,False,50
B07JQPB359,26 Inch Checked Luggage Collection - Expandable Scratch Resistant (ABS + PC) Hardside Suitcase - Designer Lightweight Bag with 8-Rolling Spinner Wheels (Girls Print),https://m.media-amazon.com/images/I/91grt91OXUL._AC_UL320_.jpg,https://www.amazon.com/dp/B07JQPB359,4.6,0,169.99,0.0,104,False,0
B0BS8MMV15,"Carry On Luggage Suitcase with Spinner Wheels Hardshell Lightweight Rolling Suitcases PC with Cover & TSA Lock for Business Travel,20inch, Avocado Green",https://m.media-amazon.com/images/I/51Mv23dPdFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BS8MMV15,4.0,0,155.99,0.0,104,False,0
B0BY1JGGRP,Luggage Aluminium Frame Suitcase PC ABS Hard Shell TSA Lock No Zipper 28In Sakura Pink,https://m.media-amazon.com/images/I/612ZjlBrh6L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BY1JGGRP,4.1,0,149.99,189.99,104,False,0
B084LNQ2CS,"Anzio Softside Expandable Spinner Luggage, Burgundy, Checked-Medium 26-Inch",https://m.media-amazon.com/images/I/81hFTHGiFQL._AC_UL320_.jpg,https://www.amazon.com/dp/B084LNQ2CS,4.1,0,76.11,114.99,104,False,100
B07B4TBHTP,"7366 Hardside Expandable Luggage with Spinner Wheels, White, Checked-Large 27-Inch",https://m.media-amazon.com/images/I/61mUGe4K+QL._AC_UL320_.jpg,https://www.amazon.com/dp/B07B4TBHTP,4.6,0,154.99,0.0,104,False,50
B07G1RYDDH,"Unisex-Adult Bold Softside Expandable Rollaboard Upright Luggage, Olive/Black, Checked-Large 28-Inch",https://m.media-amazon.com/images/I/91r695OsR9L._AC_UL320_.jpg,https://www.amazon.com/dp/B07G1RYDDH,4.6,0,460.0,0.0,104,False,0
B0B38Y9PVM,"3PCS Clear PVC Suitcase Cover Protectors Transparent Luggage Cover Waterproof Wheeled Suitcase Dust Cover Dustproof Travel Luggage Sleeve Protector 20""+24""+28""(3PCS)",https://m.media-amazon.com/images/I/71n1FcXl99L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B38Y9PVM,4.0,0,22.79,24.79,104,False,400
B07DK7S5TT,Travel Luggage Cover Suitcase Protector Fits 18-32 Inch Luggage,https://m.media-amazon.com/images/I/51INSJvERZL._AC_UL320_.jpg,https://www.amazon.com/dp/B07DK7S5TT,4.3,0,17.99,21.99,104,False,400
B09XMLCQN4,Luggage Sets Expandable ABS Hardshell 3pcs Clearance Luggage Hardside Lightweight Durable Suitcase sets Spinner Wheels Suitcase with TSA Lock (Black),https://m.media-amazon.com/images/I/71OnrskuxvL._AC_UL320_.jpg,https://www.amazon.com/dp/B09XMLCQN4,4.5,0,179.99,0.0,104,False,0
